row.names,value,nme,method,time
177,  14633,dst router5,obs,(12/25/98 00:19:59)
178, 202477,dst r4-local,obs,(12/25/98 00:19:59)
179,  36236,dst switch,obs,(12/25/98 00:19:59)
180,  12189,dst r4-others,obs,(12/25/98 00:19:59)
181,  75112,dst gw1,obs,(12/25/98 00:19:59)
182,  22780,dst gw2,obs,(12/25/98 00:19:59)
183,  57295,dst gw3,obs,(12/25/98 00:19:59)
184,   1125,dst gw-others,obs,(12/25/98 00:19:59)
211,  28222,ori router5,obs,(12/25/98 00:25:00)
212, 143722,ori r4-local,obs,(12/25/98 00:25:00)
213,  10621,ori switch,obs,(12/25/98 00:25:00)
214,   8757,ori r4-others,obs,(12/25/98 00:25:00)
215,  37145,ori gw1,obs,(12/25/98 00:25:00)
216,  59453,ori gw2,obs,(12/25/98 00:25:00)
217,  83681,ori gw3,obs,(12/25/98 00:25:00)
218,   5366,ori gw-others,obs,(12/25/98 00:25:00)
219,  15797,dst router5,obs,(12/25/98 00:25:00)
220, 148868,dst r4-local,obs,(12/25/98 00:25:00)
221,  32970,dst switch,obs,(12/25/98 00:25:00)
222,  14428,dst r4-others,obs,(12/25/98 00:25:00)
223,  77846,dst gw1,obs,(12/25/98 00:25:00)
224,  26084,dst gw2,obs,(12/25/98 00:25:00)
225,  60079,dst gw3,obs,(12/25/98 00:25:00)
226,    885,dst gw-others,obs,(12/25/98 00:25:00)
253,  29470,ori router5,obs,(12/25/98 00:30:00)
254, 176869,ori r4-local,obs,(12/25/98 00:30:00)
255,  15405,ori switch,obs,(12/25/98 00:30:00)
256,  17061,ori r4-others,obs,(12/25/98 00:30:00)
257,  23655,ori gw1,obs,(12/25/98 00:30:00)
258,  44049,ori gw2,obs,(12/25/98 00:30:00)
259,  88662,ori gw3,obs,(12/25/98 00:30:00)
260,   7454,ori gw-others,obs,(12/25/98 00:30:00)
261,  20471,dst router5,obs,(12/25/98 00:30:00)
262, 186359,dst r4-local,obs,(12/25/98 00:30:00)
263,  30320,dst switch,obs,(12/25/98 00:30:00)
264,  21724,dst r4-others,obs,(12/25/98 00:30:00)
265,  73697,dst gw1,obs,(12/25/98 00:30:00)
266,  16282,dst gw2,obs,(12/25/98 00:30:00)
267,  52724,dst gw3,obs,(12/25/98 00:30:00)
268,   1043,dst gw-others,obs,(12/25/98 00:30:00)
295,  27749,ori router5,obs,(12/25/98 00:34:59)
296, 193675,ori r4-local,obs,(12/25/98 00:34:59)
297,  21470,ori switch,obs,(12/25/98 00:34:59)
298,   5751,ori r4-others,obs,(12/25/98 00:34:59)
299,  24023,ori gw1,obs,(12/25/98 00:34:59)
300,  46513,ori gw2,obs,(12/25/98 00:34:59)
301,  69685,ori gw3,obs,(12/25/98 00:34:59)
302,   4633,ori gw-others,obs,(12/25/98 00:34:59)
303,   8882,dst router5,obs,(12/25/98 00:34:59)
304, 197582,dst r4-local,obs,(12/25/98 00:34:59)
305,  38494,dst switch,obs,(12/25/98 00:34:59)
306,  13343,dst r4-others,obs,(12/25/98 00:34:59)
307,  68901,dst gw1,obs,(12/25/98 00:34:59)
308,  14915,dst gw2,obs,(12/25/98 00:34:59)
309,  50177,dst gw3,obs,(12/25/98 00:34:59)
310,   1204,dst gw-others,obs,(12/25/98 00:34:59)
337,  31246,ori router5,obs,(12/25/98 00:39:59)
338, 120767,ori r4-local,obs,(12/25/98 00:39:59)
339,  12950,ori switch,obs,(12/25/98 00:39:59)
340,   5771,ori r4-others,obs,(12/25/98 00:39:59)
341,  30274,ori gw1,obs,(12/25/98 00:39:59)
342,  39565,ori gw2,obs,(12/25/98 00:39:59)
343,  70708,ori gw3,obs,(12/25/98 00:39:59)
344,   4109,ori gw-others,obs,(12/25/98 00:39:59)
345,  21558,dst router5,obs,(12/25/98 00:39:59)
346, 113862,dst r4-local,obs,(12/25/98 00:39:59)
347,  33787,dst switch,obs,(12/25/98 00:39:59)
348,   9335,dst r4-others,obs,(12/25/98 00:39:59)
349,  67788,dst gw1,obs,(12/25/98 00:39:59)
350,  14409,dst gw2,obs,(12/25/98 00:39:59)
351,  53741,dst gw3,obs,(12/25/98 00:39:59)
352,    908,dst gw-others,obs,(12/25/98 00:39:59)
379,  34270,ori router5,obs,(12/25/98 00:45:00)
380, 249531,ori r4-local,obs,(12/25/98 00:45:00)
381,  10751,ori switch,obs,(12/25/98 00:45:00)
382,  10144,ori r4-others,obs,(12/25/98 00:45:00)
383,  25227,ori gw1,obs,(12/25/98 00:45:00)
384,  38119,ori gw2,obs,(12/25/98 00:45:00)
385,  71594,ori gw3,obs,(12/25/98 00:45:00)
386,   1868,ori gw-others,obs,(12/25/98 00:45:00)
387,  16466,dst router5,obs,(12/25/98 00:45:00)
388, 239969,dst r4-local,obs,(12/25/98 00:45:00)
389,  45537,dst switch,obs,(12/25/98 00:45:00)
390,  12891,dst r4-others,obs,(12/25/98 00:45:00)
391,  70605,dst gw1,obs,(12/25/98 00:45:00)
392,  16714,dst gw2,obs,(12/25/98 00:45:00)
393,  38854,dst gw3,obs,(12/25/98 00:45:00)
394,    466,dst gw-others,obs,(12/25/98 00:45:00)
421,  27302,ori router5,obs,(12/25/98 00:50:00)
422, 190142,ori r4-local,obs,(12/25/98 00:50:00)
423,  18363,ori switch,obs,(12/25/98 00:50:00)
424,   7062,ori r4-others,obs,(12/25/98 00:50:00)
425,  23703,ori gw1,obs,(12/25/98 00:50:00)
426,  43632,ori gw2,obs,(12/25/98 00:50:00)
427,  76359,ori gw3,obs,(12/25/98 00:50:00)
428,   2146,ori gw-others,obs,(12/25/98 00:50:00)
429,   9892,dst router5,obs,(12/25/98 00:50:00)
430, 199505,dst r4-local,obs,(12/25/98 00:50:00)
431,  34517,dst switch,obs,(12/25/98 00:50:00)
432,  10885,dst r4-others,obs,(12/25/98 00:50:00)
433,  75997,dst gw1,obs,(12/25/98 00:50:00)
434,  15952,dst gw2,obs,(12/25/98 00:50:00)
435,  41510,dst gw3,obs,(12/25/98 00:50:00)
436,    447,dst gw-others,obs,(12/25/98 00:50:00)
463,  31616,ori router5,obs,(12/25/98 00:55:00)
464, 167698,ori r4-local,obs,(12/25/98 00:55:00)
465,  15376,ori switch,obs,(12/25/98 00:55:00)
466,  11063,ori r4-others,obs,(12/25/98 00:55:00)
467,  32238,ori gw1,obs,(12/25/98 00:55:00)
468,  42684,ori gw2,obs,(12/25/98 00:55:00)
469,  76771,ori gw3,obs,(12/25/98 00:55:00)
470,    615,ori gw-others,obs,(12/25/98 00:55:00)
471,   9620,dst router5,obs,(12/25/98 00:55:00)
472, 183352,dst r4-local,obs,(12/25/98 00:55:00)
473,  34885,dst switch,obs,(12/25/98 00:55:00)
474,  10501,dst r4-others,obs,(12/25/98 00:55:00)
475,  72892,dst gw1,obs,(12/25/98 00:55:00)
476,   8060,dst gw2,obs,(12/25/98 00:55:00)
477,  58490,dst gw3,obs,(12/25/98 00:55:00)
478,    257,dst gw-others,obs,(12/25/98 00:55:00)
505,  34244,ori router5,obs,(12/25/98 00:59:59)
506,  40826,ori r4-local,obs,(12/25/98 00:59:59)
507,  23170,ori switch,obs,(12/25/98 00:59:59)
508,   5597,ori r4-others,obs,(12/25/98 00:59:59)
509,  28417,ori gw1,obs,(12/25/98 00:59:59)
510,  30303,ori gw2,obs,(12/25/98 00:59:59)
511,  77318,ori gw3,obs,(12/25/98 00:59:59)
512,    674,ori gw-others,obs,(12/25/98 00:59:59)
513,   9009,dst router5,obs,(12/25/98 00:59:59)
514,  62367,dst r4-local,obs,(12/25/98 00:59:59)
515,  34582,dst switch,obs,(12/25/98 00:59:59)
516,  10709,dst r4-others,obs,(12/25/98 00:59:59)
517,  69237,dst gw1,obs,(12/25/98 00:59:59)
518,   7600,dst gw2,obs,(12/25/98 00:59:59)
519,  46600,dst gw3,obs,(12/25/98 00:59:59)
520,    441,dst gw-others,obs,(12/25/98 00:59:59)
547,  31868,ori router5,obs,(12/25/98 01:04:59)
548,  44383,ori r4-local,obs,(12/25/98 01:04:59)
549,  14222,ori switch,obs,(12/25/98 01:04:59)
550,   9681,ori r4-others,obs,(12/25/98 01:04:59)
551,  28633,ori gw1,obs,(12/25/98 01:04:59)
552,  23117,ori gw2,obs,(12/25/98 01:04:59)
553,  61164,ori gw3,obs,(12/25/98 01:04:59)
554,   1928,ori gw-others,obs,(12/25/98 01:04:59)
555,  14679,dst router5,obs,(12/25/98 01:04:59)
556,  51014,dst r4-local,obs,(12/25/98 01:04:59)
557,  36076,dst switch,obs,(12/25/98 01:04:59)
558,  14249,dst r4-others,obs,(12/25/98 01:04:59)
559,  52486,dst gw1,obs,(12/25/98 01:04:59)
560,   7003,dst gw2,obs,(12/25/98 01:04:59)
561,  38542,dst gw3,obs,(12/25/98 01:04:59)
562,    957,dst gw-others,obs,(12/25/98 01:04:59)
589,  30384,ori router5,obs,(12/25/98 01:10:00)
590,  42468,ori r4-local,obs,(12/25/98 01:10:00)
591,  17403,ori switch,obs,(12/25/98 01:10:00)
592,   6894,ori r4-others,obs,(12/25/98 01:10:00)
593,  23523,ori gw1,obs,(12/25/98 01:10:00)
594,  21606,ori gw2,obs,(12/25/98 01:10:00)
595,  41626,ori gw3,obs,(12/25/98 01:10:00)
596,   1150,ori gw-others,obs,(12/25/98 01:10:00)
597,  13581,dst router5,obs,(12/25/98 01:10:00)
598,  46211,dst r4-local,obs,(12/25/98 01:10:00)
599,  37404,dst switch,obs,(12/25/98 01:10:00)
600,  11817,dst r4-others,obs,(12/25/98 01:10:00)
601,  34924,dst gw1,obs,(12/25/98 01:10:00)
602,   9612,dst gw2,obs,(12/25/98 01:10:00)
603,  31127,dst gw3,obs,(12/25/98 01:10:00)
604,    405,dst gw-others,obs,(12/25/98 01:10:00)
631,  30386,ori router5,obs,(12/25/98 01:15:00)
632,  42471,ori r4-local,obs,(12/25/98 01:15:00)
633,  17432,ori switch,obs,(12/25/98 01:15:00)
634,   6890,ori r4-others,obs,(12/25/98 01:15:00)
635,  23478,ori gw1,obs,(12/25/98 01:15:00)
636,  21592,ori gw2,obs,(12/25/98 01:15:00)
637,  41477,ori gw3,obs,(12/25/98 01:15:00)
638,   1149,ori gw-others,obs,(12/25/98 01:15:00)
639,  13576,dst router5,obs,(12/25/98 01:15:00)
640,  46186,dst r4-local,obs,(12/25/98 01:15:00)
641,  37418,dst switch,obs,(12/25/98 01:15:00)
642,  11813,dst r4-others,obs,(12/25/98 01:15:00)
643,  34807,dst gw1,obs,(12/25/98 01:15:00)
644,   9621,dst gw2,obs,(12/25/98 01:15:00)
645,  31078,dst gw3,obs,(12/25/98 01:15:00)
646,    404,dst gw-others,obs,(12/25/98 01:15:00)
673,  30629,ori router5,obs,(12/25/98 01:19:59)
674,  35704,ori r4-local,obs,(12/25/98 01:19:59)
675,  14287,ori switch,obs,(12/25/98 01:19:59)
676,   5612,ori r4-others,obs,(12/25/98 01:19:59)
677,  24662,ori gw1,obs,(12/25/98 01:19:59)
678,  31274,ori gw2,obs,(12/25/98 01:19:59)
679,  50702,ori gw3,obs,(12/25/98 01:19:59)
680,   2463,ori gw-others,obs,(12/25/98 01:19:59)
681,  12275,dst router5,obs,(12/25/98 01:19:59)
682,  38601,dst r4-local,obs,(12/25/98 01:19:59)
683,  45863,dst switch,obs,(12/25/98 01:19:59)
684,  10486,dst r4-others,obs,(12/25/98 01:19:59)
685,  37827,dst gw1,obs,(12/25/98 01:19:59)
686,  13594,dst gw2,obs,(12/25/98 01:19:59)
687,  36357,dst gw3,obs,(12/25/98 01:19:59)
688,    332,dst gw-others,obs,(12/25/98 01:19:59)
715,  27034,ori router5,obs,(12/25/98 01:24:59)
716,  40261,ori r4-local,obs,(12/25/98 01:24:59)
717,   8306,ori switch,obs,(12/25/98 01:24:59)
718,   4927,ori r4-others,obs,(12/25/98 01:24:59)
719,  29869,ori gw1,obs,(12/25/98 01:24:59)
720,  33494,ori gw2,obs,(12/25/98 01:24:59)
721,  69468,ori gw3,obs,(12/25/98 01:24:59)
722,   2491,ori gw-others,obs,(12/25/98 01:24:59)
723,  10247,dst router5,obs,(12/25/98 01:24:59)
724,  42194,dst r4-local,obs,(12/25/98 01:24:59)
725,  41415,dst switch,obs,(12/25/98 01:24:59)
726,   8949,dst r4-others,obs,(12/25/98 01:24:59)
727,  57538,dst gw1,obs,(12/25/98 01:24:59)
728,  13011,dst gw2,obs,(12/25/98 01:24:59)
729,  42066,dst gw3,obs,(12/25/98 01:24:59)
730,    456,dst gw-others,obs,(12/25/98 01:24:59)
757,  29735,ori router5,obs,(12/25/98 01:30:00)
758,  33344,ori r4-local,obs,(12/25/98 01:30:00)
759,  13694,ori switch,obs,(12/25/98 01:30:00)
760,   5733,ori r4-others,obs,(12/25/98 01:30:00)
761,  30638,ori gw1,obs,(12/25/98 01:30:00)
762,  52889,ori gw2,obs,(12/25/98 01:30:00)
763,  80740,ori gw3,obs,(12/25/98 01:30:00)
764,   1204,ori gw-others,obs,(12/25/98 01:30:00)
765,  13356,dst router5,obs,(12/25/98 01:30:00)
766,  37690,dst r4-local,obs,(12/25/98 01:30:00)
767,  65503,dst switch,obs,(12/25/98 01:30:00)
768,  10235,dst r4-others,obs,(12/25/98 01:30:00)
769,  63754,dst gw1,obs,(12/25/98 01:30:00)
770,   9696,dst gw2,obs,(12/25/98 01:30:00)
771,  47469,dst gw3,obs,(12/25/98 01:30:00)
772,    296,dst gw-others,obs,(12/25/98 01:30:00)
799,  26933,ori router5,obs,(12/25/98 01:35:00)
800,  41258,ori r4-local,obs,(12/25/98 01:35:00)
801,  18428,ori switch,obs,(12/25/98 01:35:00)
802,  10968,ori r4-others,obs,(12/25/98 01:35:00)
803,  28880,ori gw1,obs,(12/25/98 01:35:00)
804,  39800,ori gw2,obs,(12/25/98 01:35:00)
805,  67802,ori gw3,obs,(12/25/98 01:35:00)
806,   2561,ori gw-others,obs,(12/25/98 01:35:00)
807,  11234,dst router5,obs,(12/25/98 01:35:00)
808,  43320,dst r4-local,obs,(12/25/98 01:35:00)
809,  53365,dst switch,obs,(12/25/98 01:35:00)
810,  16117,dst r4-others,obs,(12/25/98 01:35:00)
811,  50344,dst gw1,obs,(12/25/98 01:35:00)
812,  11890,dst gw2,obs,(12/25/98 01:35:00)
813,  49849,dst gw3,obs,(12/25/98 01:35:00)
814,    510,dst gw-others,obs,(12/25/98 01:35:00)
841,  28481,ori router5,obs,(12/25/98 01:40:00)
842,  43433,ori r4-local,obs,(12/25/98 01:40:00)
843,   9069,ori switch,obs,(12/25/98 01:40:00)
844,   6446,ori r4-others,obs,(12/25/98 01:40:00)
845,  31355,ori gw1,obs,(12/25/98 01:40:00)
846,  27381,ori gw2,obs,(12/25/98 01:40:00)
847,  70581,ori gw3,obs,(12/25/98 01:40:00)
848,   1674,ori gw-others,obs,(12/25/98 01:40:00)
849,  13140,dst router5,obs,(12/25/98 01:40:00)
850,  43890,dst r4-local,obs,(12/25/98 01:40:00)
851,  34910,dst switch,obs,(12/25/98 01:40:00)
852,  11406,dst r4-others,obs,(12/25/98 01:40:00)
853,  58565,dst gw1,obs,(12/25/98 01:40:00)
854,   7782,dst gw2,obs,(12/25/98 01:40:00)
855,  48472,dst gw3,obs,(12/25/98 01:40:00)
856,    280,dst gw-others,obs,(12/25/98 01:40:00)
883,  31483,ori router5,obs,(12/25/98 01:44:59)
884,  47084,ori r4-local,obs,(12/25/98 01:44:59)
885,   8883,ori switch,obs,(12/25/98 01:44:59)
886,   7795,ori r4-others,obs,(12/25/98 01:44:59)
887,  25083,ori gw1,obs,(12/25/98 01:44:59)
888,  25622,ori gw2,obs,(12/25/98 01:44:59)
889,  53847,ori gw3,obs,(12/25/98 01:44:59)
890,   4159,ori gw-others,obs,(12/25/98 01:44:59)
891,  13283,dst router5,obs,(12/25/98 01:44:59)
892,  36446,dst r4-local,obs,(12/25/98 01:44:59)
893,  44741,dst switch,obs,(12/25/98 01:44:59)
894,  13268,dst r4-others,obs,(12/25/98 01:44:59)
895,  43438,dst gw1,obs,(12/25/98 01:44:59)
896,   7830,dst gw2,obs,(12/25/98 01:44:59)
897,  44395,dst gw3,obs,(12/25/98 01:44:59)
898,    556,dst gw-others,obs,(12/25/98 01:44:59)
925,  27821,ori router5,obs,(12/25/98 01:49:59)
926,  39027,ori r4-local,obs,(12/25/98 01:49:59)
927,   8301,ori switch,obs,(12/25/98 01:49:59)
928,   8367,ori r4-others,obs,(12/25/98 01:49:59)
929,  34772,ori gw1,obs,(12/25/98 01:49:59)
930,  29905,ori gw2,obs,(12/25/98 01:49:59)
931,  56310,ori gw3,obs,(12/25/98 01:49:59)
932,    649,ori gw-others,obs,(12/25/98 01:49:59)
933,  18929,dst router5,obs,(12/25/98 01:49:59)
934,  39818,dst r4-local,obs,(12/25/98 01:49:59)
935,  31816,dst switch,obs,(12/25/98 01:49:59)
936,  11951,dst r4-others,obs,(12/25/98 01:49:59)
937,  41398,dst gw1,obs,(12/25/98 01:49:59)
938,  12299,dst gw2,obs,(12/25/98 01:49:59)
939,  48637,dst gw3,obs,(12/25/98 01:49:59)
940,    305,dst gw-others,obs,(12/25/98 01:49:59)
967,  26203,ori router5,obs,(12/25/98 01:55:00)
968,  49625,ori r4-local,obs,(12/25/98 01:55:00)
969,  12430,ori switch,obs,(12/25/98 01:55:00)
970,   7905,ori r4-others,obs,(12/25/98 01:55:00)
971,  27625,ori gw1,obs,(12/25/98 01:55:00)
972,  26329,ori gw2,obs,(12/25/98 01:55:00)
973,  78701,ori gw3,obs,(12/25/98 01:55:00)
974,   1342,ori gw-others,obs,(12/25/98 01:55:00)
975,  13878,dst router5,obs,(12/25/98 01:55:00)
976,  48751,dst r4-local,obs,(12/25/98 01:55:00)
977,  36624,dst switch,obs,(12/25/98 01:55:00)
978,  11188,dst r4-others,obs,(12/25/98 01:55:00)
979,  61086,dst gw1,obs,(12/25/98 01:55:00)
980,  14255,dst gw2,obs,(12/25/98 01:55:00)
981,  43794,dst gw3,obs,(12/25/98 01:55:00)
982,    584,dst gw-others,obs,(12/25/98 01:55:00)
1009,  29455,ori router5,obs,(12/25/98 02:00:00)
1010,  34139,ori r4-local,obs,(12/25/98 02:00:00)
1011,  15644,ori switch,obs,(12/25/98 02:00:00)
1012,   7765,ori r4-others,obs,(12/25/98 02:00:00)
1013,  38846,ori gw1,obs,(12/25/98 02:00:00)
1014,  24311,ori gw2,obs,(12/25/98 02:00:00)
1015,  87803,ori gw3,obs,(12/25/98 02:00:00)
1016,   1558,ori gw-others,obs,(12/25/98 02:00:00)
1017,  15989,dst router5,obs,(12/25/98 02:00:00)
1018,  36842,dst r4-local,obs,(12/25/98 02:00:00)
1019,  37883,dst switch,obs,(12/25/98 02:00:00)
1020,  11560,dst r4-others,obs,(12/25/98 02:00:00)
1021,  67647,dst gw1,obs,(12/25/98 02:00:00)
1022,  14101,dst gw2,obs,(12/25/98 02:00:00)
1023,  55155,dst gw3,obs,(12/25/98 02:00:00)
1024,    346,dst gw-others,obs,(12/25/98 02:00:00)
1051,  27497,ori router5,obs,(12/25/98 02:04:59)
1052,  33484,ori r4-local,obs,(12/25/98 02:04:59)
1053,  10467,ori switch,obs,(12/25/98 02:04:59)
1054,   9387,ori r4-others,obs,(12/25/98 02:04:59)
1055,  28468,ori gw1,obs,(12/25/98 02:04:59)
1056,  27751,ori gw2,obs,(12/25/98 02:04:59)
1057,  64229,ori gw3,obs,(12/25/98 02:04:59)
1058,   3364,ori gw-others,obs,(12/25/98 02:04:59)
1059,  13357,dst router5,obs,(12/25/98 02:04:59)
1060,  30485,dst r4-local,obs,(12/25/98 02:04:59)
1061,  39541,dst switch,obs,(12/25/98 02:04:59)
1062,  11736,dst r4-others,obs,(12/25/98 02:04:59)
1063,  53324,dst gw1,obs,(12/25/98 02:04:59)
1064,  12501,dst gw2,obs,(12/25/98 02:04:59)
1065,  43162,dst gw3,obs,(12/25/98 02:04:59)
1066,    542,dst gw-others,obs,(12/25/98 02:04:59)
1093,  27832,ori router5,obs,(12/25/98 02:09:59)
1094,  43534,ori r4-local,obs,(12/25/98 02:09:59)
1095,   9574,ori switch,obs,(12/25/98 02:09:59)
1096,   8202,ori r4-others,obs,(12/25/98 02:09:59)
1097,  26601,ori gw1,obs,(12/25/98 02:09:59)
1098,  22200,ori gw2,obs,(12/25/98 02:09:59)
1099,  76437,ori gw3,obs,(12/25/98 02:09:59)
1100,   1474,ori gw-others,obs,(12/25/98 02:09:59)
1101,  14764,dst router5,obs,(12/25/98 02:09:59)
1102,  39038,dst r4-local,obs,(12/25/98 02:09:59)
1103,  37461,dst switch,obs,(12/25/98 02:09:59)
1104,  11897,dst r4-others,obs,(12/25/98 02:09:59)
1105,  62356,dst gw1,obs,(12/25/98 02:09:59)
1106,  10335,dst gw2,obs,(12/25/98 02:09:59)
1107,  39702,dst gw3,obs,(12/25/98 02:09:59)
1108,    301,dst gw-others,obs,(12/25/98 02:09:59)
1135,  27835,ori router5,obs,(12/25/98 02:15:00)
1136,  43635,ori r4-local,obs,(12/25/98 02:15:00)
1137,   9568,ori switch,obs,(12/25/98 02:15:00)
1138,   8197,ori r4-others,obs,(12/25/98 02:15:00)
1139,  26589,ori gw1,obs,(12/25/98 02:15:00)
1140,  22163,ori gw2,obs,(12/25/98 02:15:00)
1141,  76517,ori gw3,obs,(12/25/98 02:15:00)
1142,   1464,ori gw-others,obs,(12/25/98 02:15:00)
1143,  14774,dst router5,obs,(12/25/98 02:15:00)
1144,  39126,dst r4-local,obs,(12/25/98 02:15:00)
1145,  37448,dst switch,obs,(12/25/98 02:15:00)
1146,  11901,dst r4-others,obs,(12/25/98 02:15:00)
1147,  62418,dst gw1,obs,(12/25/98 02:15:00)
1148,  10321,dst gw2,obs,(12/25/98 02:15:00)
1149,  39680,dst gw3,obs,(12/25/98 02:15:00)
1150,    300,dst gw-others,obs,(12/25/98 02:15:00)
1177,  29372,ori router5,obs,(12/25/98 02:20:00)
1178,  36565,ori r4-local,obs,(12/25/98 02:20:00)
1179,  13463,ori switch,obs,(12/25/98 02:20:00)
1180,   7963,ori r4-others,obs,(12/25/98 02:20:00)
1181,  31628,ori gw1,obs,(12/25/98 02:20:00)
1182,  17673,ori gw2,obs,(12/25/98 02:20:00)
1183,  76267,ori gw3,obs,(12/25/98 02:20:00)
1184,   3759,ori gw-others,obs,(12/25/98 02:20:00)
1185,  18352,dst router5,obs,(12/25/98 02:20:00)
1186,  33880,dst r4-local,obs,(12/25/98 02:20:00)
1187,  37145,dst switch,obs,(12/25/98 02:20:00)
1188,  11139,dst r4-others,obs,(12/25/98 02:20:00)
1189,  68183,dst gw1,obs,(12/25/98 02:20:00)
1190,   6258,dst gw2,obs,(12/25/98 02:20:00)
1191,  41218,dst gw3,obs,(12/25/98 02:20:00)
1192,    515,dst gw-others,obs,(12/25/98 02:20:00)
1219,  26760,ori router5,obs,(12/25/98 02:25:00)
1220,  34990,ori r4-local,obs,(12/25/98 02:25:00)
1221,   9500,ori switch,obs,(12/25/98 02:25:00)
1222,   8580,ori r4-others,obs,(12/25/98 02:25:00)
1223,  23937,ori gw1,obs,(12/25/98 02:25:00)
1224,  77559,ori gw2,obs,(12/25/98 02:25:00)
1225,  65800,ori gw3,obs,(12/25/98 02:25:00)
1226,  24736,ori gw-others,obs,(12/25/98 02:25:00)
1227,  66968,dst router5,obs,(12/25/98 02:25:00)
1228,  35421,dst r4-local,obs,(12/25/98 02:25:00)
1229,  32687,dst switch,obs,(12/25/98 02:25:00)
1230,  11867,dst r4-others,obs,(12/25/98 02:25:00)
1231,  58449,dst gw1,obs,(12/25/98 02:25:00)
